1,2,Trans,Match,Major
I6,IV,I6-IV,Yes,Major
IV,IV6,IV-IV6,Yes,Major
IV6,V65,IV6-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V64,I-V64,Yes,Major
bII,bVI,bII-bVI,No,Major
IV,I,IV-I,No,Major
bVI,bII6,bVI-bII6,No,Major
I,IV6,I-IV6,No,Major
bVI6,bII,bVI6-bII,No,Major
V6,I,V6-I,No,Major
bII,bII6,bII-bII6,No,Major
bVI,bVI6,bVI-bVI6,No,Major
I,I6,I-I6,No,Major
IV,I64,IV-I64,No,Major
V6,V65,V6-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V64,I-V64,Yes,Major
V64,I,V64-I,Yes,Major
I,V64,I-V64,Yes,Major
V64,I,V64-I,Yes,Major
IV,I64,IV-I64,No,Major
I64,IV,I64-IV,No,Major
IV,I64,IV-I64,No,Major
I64,IV,I64-IV,No,Major
I,V42,I-V42,Yes,Major
V42,I6,V42-I6,Yes,Major
I6,V65,I6-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V6,I-V6,Yes,Major
V6,VI,V6-VI,Yes,Major
V,dimVII43,V-dimVII43,Yes,Major
dimVII43,V42,dimVII43-V42,Yes,Major
V42,I6,V42-I6,Yes,Major
II,V7,II-V7,Yes,Major
V7,I,V7-I,Yes,Major
bII,bVI6,bII-bVI6,No,Major
IV,I6,IV-I6,No,Major
I6,II,I6-II,No,Major
I6,bII6,I6-bII6,No,Major
I,bII6,I-bII6,No,Major
I,bII,I-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
bVI,bVI6,bVI-bVI6,No,Major
